Datum;"Produktion
Rohgas";"Bezug Roh-
Gas BGAA
Cirmac";"Bezug Roh-
Gas Fackel";"Bezug Roh-
Gas gesamt";"Einspeisung
Messung";;"Produktion
trocken";"Konsum
trocken"
01.01.15;16'496;13'654;;13'654;;;13'204;11'818
02.01.15;16'765;13'153;;13'153;;;13'420;11'385
03.01.15;21'612;12'742;;12'742;;;17'300;11'029
04.01.15;16'587;11'091;;11'091;;;13'277;9'600
05.01.15;21'993;13'704;;13'704;;;17'605;11'862
06.01.15;37'334;18'031;;18'031;;;29'884;15'607
07.01.15;38'183;19'264;;19'264;;;30'564;16'674
08.01.15;23'054;18'422;;18'422;;;18'454;15'945
09.01.15;24'292;18'438;;18'438;;;19'445;15'959
10.01.15;37'425;16'517;;16'517;;;29'957;14'296
11.01.15;33'600;14'754;;14'754;;;26'896;12'770
12.01.15;39'383;17'714;;17'714;;;31'525;15'332
13.01.15;43'507;17'892;;17'892;;;34'826;15'487
14.01.15;38'152;13'191;;13'191;;;30'539;11'418
15.01.15;30'995;19'324;;19'324;;;24'810;16'726
16.01.15;30'830;17'770;;17'770;;;24'678;15'381
17.01.15;38'346;19'582;;19'582;;;30'695;16'949
18.01.15;43'137;19'030;;19'030;;;34'530;16'472
19.01.15;42'883;19'465;;19'465;;;34'326;16'848
20.01.15;34'366;22'082;;22'082;;;27'509;19'113
21.01.15;34'943;22'643;;22'643;;;27'971;19'599
22.01.15;24'519;12'853;8'038;20'891;;;19'627;18'082
23.01.15;25'953;21'089;;21'089;;;20'774;18'254
24.01.15;23'850;17'677;256;17'933;;;19'091;15'522
25.01.15;22'540;18'639;;18'639;;;18'042;16'133
26.01.15;24'314;18'865;;18'865;;;19'462;16'329
27.01.15;31'441;19'616;;19'616;;;25'167;16'979
28.01.15;31'175;18'886;;18'886;;;24'954;16'347
29.01.15;32'829;19'407;;19'407;;;26'278;16'798
30.01.15;24'172;17'041;;17'041;;;19'349;14'750
31.01.15;28'119;16'598;;16'598;371'653;4'102'306;22'508;14'366
01.02.15;24'211;19'265;;19'265;;;19'380;16'675
02.02.15;25'798;18'579;;18'579;;;20'650;16'081
03.02.15;34'168;22'010;;22'010;;;27'350;19'051
04.02.15;35'067;19'537;;19'537;;;28'070;16'910
05.02.15;38'665;9'212;;9'212;;;30'950;7'973
06.02.15;23'598;19'537;;19'537;;;18'889;16'910
07.02.15;22'641;18'615;;18'615;;;18'123;16'112
08.02.15;25'299;16'109;;16'109;;;20'251;13'943
09.02.15;34'515;17'053;;17'053;;;27'628;14'760
10.02.15;28'804;17'532;;17'532;;;23'057;15'175
11.02.15;24'481;18'807;;18'807;;;19'596;16'279
12.02.15;27'592;20'949;;20'949;;;22'086;18'133
13.02.15;31'675;15'511;;15'511;;;25'355;13'426
14.02.15;24'659;17'386;;17'386;;;19'739;15'049
15.02.15;23'862;19'066;;19'066;;;19'101;16'503
16.02.15;26'061;18'895;;18'895;;;20'861;16'355
17.02.15;25'528;18'626;;18'626;;;20'434;16'122
18.02.15;31'485;22'815;;22'815;;;25'203;19'748
19.02.15;33'449;16'108;;16'108;;;26'775;13'942
20.02.15;31'202;21'164;;21'164;;;24'976;18'319
21.02.15;40'214;19'792;;19'792;;;32'190;17'131
22.02.15;36'229;18'145;;18'145;;;29'000;15'706
23.02.15;34'176;14'921;;14'921;;;27'357;12'915
24.02.15;35'748;13'712;;13'712;;;28'615;11'869
25.02.15;34'594;14'182;;14'182;;;27'691;12'275
26.02.15;35'195;18'970;;18'970;;;28'172;16'420
27.02.15;43'502;22'994;;22'994;;;34'822;19'903
28.02.15;26'244;20'483;;20'483;377'372;4'165'432;21'007;17'729
01.03.15;25'320;19'059;;19'059;;;20'268;16'497
02.03.15;31'571;21'216;;21'216;;;25'271;18'364
03.03.15;28'019;21'968;;21'968;;;22'428;19'015
04.03.15;30'003;19'755;;19'755;;;24'016;17'099
05.03.15;30'345;20'165;;20'165;;;24'290;17'454
06.03.15;29'104;20'730;;20'730;;;23'297;17'943
07.03.15;25'646;19'651;;19'651;;;20'529;17'009
08.03.15;29'657;19'060;;19'060;;;23'739;16'497
09.03.15;24'769;19'289;;19'289;;;19'827;16'696
10.03.15;31'270;23'303;;23'303;;;25'030;20'170
11.03.15;28'729;22'659;;22'659;;;22'997;19'613
12.03.15;29'573;20'481;;20'481;;;23'672;17'727
13.03.15;32'487;20'903;;20'903;;;26'005;18'093
14.03.15;29'475;19'313;;19'313;;;23'594;16'716
15.03.15;32'011;18'700;;18'700;;;25'624;16'186
16.03.15;28'785;19'469;;19'469;;;23'041;16'852
17.03.15;28'863;21'755;;21'755;;;23'104;18'830
18.03.15;30'054;21'904;;21'904;;;24'057;18'959
19.03.15;29'587;20'277;688;20'965;;;23'683;18'146
20.03.15;28'477;19'497;2'278;21'775;;;22'795;18'847
21.03.15;27'818;20'390;;20'390;;;22'267;17'649
22.03.15;33'881;18'766;;18'766;;;27'120;16'243
23.03.15;29'568;19'122;;19'122;;;23'668;16'551
24.03.15;31'807;23'503;;23'503;;;25'460;20'343
25.03.15;33'912;19'971;;19'971;;;27'145;17'286
26.03.15;31'869;23'066;;23'066;;;25'510;19'965
27.03.15;31'509;19'997;;19'997;;;25'222;17'309
28.03.15;29'450;21'039;;21'039;;;23'574;18'210
29.03.15;28'964;18'696;;18'696;;;23'185;16'182
30.03.15;27'443;19'552;;19'552;;;21'967;16'923
31.03.15;31'454;22'956;;22'956;427'295;4'716'482;25'178;19'870
01.04.15;31'677;23'448;;23'448;;;25'356;20'296
02.04.15;32'129;21'468;;21'468;;;25'718;18'582
03.04.15;31'816;16'426;;16'426;;;25'468;14'218
04.04.15;25'493;12'593;;12'593;;;20'406;10'900
05.04.15;20'466;13'765;;13'765;;;16'382;11'914
06.04.15;17'084;12'216;;12'216;;;13'675;10'574
07.04.15;30'898;16'735;;16'735;;;24'733;14'485
08.04.15;29'266;18'166;1'860;20'026;;;23'426;17'334
09.04.15;26'308;12'738;10'139;22'877;;;21'059;19'801
10.04.15;29'505;905;25'059;25'964;;;23'618;22'473
11.04.15;25'583;;23'042;23'042;;;20'478;19'944
12.04.15;30'279;10'312;10'388;20'700;;;24'237;17'917
13.04.15;39'542;19'557;;19'557;;;31'652;16'928
14.04.15;34'774;17'986;;17'986;;;27'835;15'568
15.04.15;22'485;6'221;10'051;16'272;;;17'998;14'084
16.04.15;33'921;17'257;2'373;19'630;;;27'153;16'991
17.04.15;36'279;17'058;;17'058;;;29'040;14'765
18.04.15;34'462;17'773;;17'773;;;27'586;15'384
19.04.15;26'564;14'161;4'000;18'161;;;21'264;15'719
20.04.15;30'986;13'468;962;14'430;;;24'803;12'490
21.04.15;29'568;21'421;;21'421;;;23'668;18'541
22.04.15;32'658;19'119;;19'119;;;26'142;16'549
23.04.15;34'934;23'078;;23'078;;;27'963;19'975
24.04.15;29'146;19'726;;19'726;;;23'330;17'074
25.04.15;27'054;13'220;;13'220;;;21'656;11'443
26.04.15;33'946;7'467;;7'467;;;27'173;6'463
27.04.15;31'512;14'150;;14'150;;;25'224;12'248
28.04.15;35'292;11'364;;11'364;;;28'250;9'836
29.04.15;38'978;10'789;;10'789;;;31'200;9'338
30.04.15;34'652;12'921;;12'921;366'194;4'042'049;27'738;11'184
01.05.15;30'828;16'824;;16'824;;;24'677;14'562
02.05.15;27'830;19'164;;19'164;;;22'277;16'588
03.05.15;32'042;14'804;;14'804;;;25'648;12'814
04.05.15;30'114;17'881;;17'881;;;24'105;15'477
05.05.15;27'700;20'024;;20'024;;;22'173;17'332
06.05.15;27'586;13'836;;13'836;;;22'082;11'976
07.05.15;26'762;11'382;860;12'242;;;21'422;10'596
08.05.15;28'300;17'589;;17'589;;;22'653;15'224
09.05.15;25'388;17'922;;17'922;;;20'322;15'512
10.05.15;24'692;18'470;;18'470;;;19'765;15'987
11.05.15;25'114;17'448;;17'448;;;20'103;15'102
12.05.15;31'766;17'578;;17'578;;;25'428;15'215
13.05.15;30'692;22'383;;22'383;;;24'568;19'374
14.05.15;28'014;20'377;;20'377;;;22'424;17'637
15.05.15;27'090;15'823;;15'823;;;21'685;13'696
16.05.15;21'252;10'471;2'930;13'401;;;17'011;11'599
17.05.15;25'658;12'515;2'900;15'415;;;20'538;13'343
18.05.15;27'118;18'493;;18'493;;;21'707;16'007
19.05.15;30'964;17'055;;17'055;;;24'786;14'762
20.05.15;29'732;16'045;;16'045;;;23'799;13'888
21.05.15;33'764;16'737;;16'737;;;27'027;14'487
22.05.15;26'116;11'751;;11'751;;;20'905;10'171
23.05.15;25'908;15'931;;15'931;;;20'738;13'789
24.05.15;19'646;13'741;;13'741;;;15'726;11'894
25.05.15;20'630;11'614;;11'614;;;16'514;10'053
26.05.15;30'740;14'813;;14'813;;;24'606;12'821
27.05.15;28'572;13'046;;13'046;;;22'871;11'292
28.05.15;32'584;15'470;;15'470;;;26'082;13'390
29.05.15;23'904;16'171;;16'171;;;19'134;13'997
30.05.15;24'520;18'478;;18'478;;;19'627;15'994
31.05.15;24'912;15'883;;15'883;383'905;4'237'543;19'941;13'748
01.06.15;26'704;14'145;;14'145;;;21'376;12'243
02.06.15;32'208;15'668;;15'668;;;25'781;13'562
